benchmark,number_of_nodes,number_of_edges,density,Dijkstras,Dijkstras_DHeap,Dijkstras_BinomialHeap
../benchmarks/test4_m2600_m676000.0_.txt,2600,676000.0,M=N*N/10,108820.000000,190092.000000,475679.000000
../benchmarks/test0_m3100_m12400_.txt,3100,12400,M=4*N,39850.000000,8627.000000,63474.000000
../benchmarks/test0_m3100_m12400_.txt,3100,12400,M=4*N,40036.000000,8604.000000,63153.000000
../benchmarks/test1_m3100_m37200_.txt,3100,37200,M=12*N,42565.000000,14286.000000,153341.000000
../benchmarks/test1_m3100_m37200_.txt,3100,37200,M=12*N,42352.000000,14217.000000,153808.000000
../benchmarks/test2_m3100_m77500_.txt,3100,77500,M=25*N,46883.000000,2090.000000,231843.000000
../benchmarks/test2_m3100_m77500_.txt,3100,77500,M=25*N,46883.000000,2061.000000,230962.000000
../benchmarks/test3_m3100_m192200.0_.txt,3100,192200.0,M=N*N/50,59991.000000,22452.000000,347372.000000
../benchmarks/test3_m3100_m192200.0_.txt,3100,192200.0,M=N*N/50,59954.000000,22585.000000,343829.000000
../benchmarks/test4_m3100_m961000.0_.txt,3100,961000.0,M=N*N/10,155781.000000,189819.000000,707514.000000
../benchmarks/test4_m3100_m961000.0_.txt,3100,961000.0,M=N*N/10,155286.000000,189479.000000,703218.000000
../benchmarks/test0_m3600_m14400_.txt,3600,14400,M=4*N,54589.000000,10748.000000,81941.000000
../benchmarks/test0_m3600_m14400_.txt,3600,14400,M=4*N,54481.000000,10745.000000,81231.000000
../benchmarks/test1_m3600_m43200_.txt,3600,43200,M=12*N,57348.000000,987.000000,206333.000000
../benchmarks/test1_m3600_m43200_.txt,3600,43200,M=12*N,58457.000000,983.000000,205275.000000
../benchmarks/test2_m3600_m90000_.txt,3600,90000,M=25*N,63186.000000,3032.000000,302836.000000
../benchmarks/test2_m3600_m90000_.txt,3600,90000,M=25*N,62616.000000,3044.000000,304260.000000
../benchmarks/test3_m3600_m259200.0_.txt,3600,259200.0,M=N*N/50,82061.000000,84048.000000,491116.000000
../benchmarks/test3_m3600_m259200.0_.txt,3600,259200.0,M=N*N/50,82203.000000,83231.000000,490125.000000
../benchmarks/test4_m3600_m1296000.0_.txt,3600,1296000.0,M=N*N/10,211451.000000,365763.000000,976465.000000
../benchmarks/test4_m3600_m1296000.0_.txt,3600,1296000.0,M=N*N/10,211246.000000,365844.000000,978516.000000
../benchmarks/test0_m4100_m16400_.txt,4100,16400,M=4*N,72101.000000,12202.000000,106337.000000
../benchmarks/test0_m4100_m16400_.txt,4100,16400,M=4*N,71751.000000,12183.000000,106390.000000
../benchmarks/test1_m4100_m49200_.txt,4100,49200,M=12*N,74841.000000,20589.000000,288548.000000
../benchmarks/test1_m4100_m49200_.txt,4100,49200,M=12*N,75560.000000,20717.000000,257622.000000
../benchmarks/test2_m4100_m102500_.txt,4100,102500,M=25*N,80247.000000,32664.000000,396653.000000
../benchmarks/test2_m4100_m102500_.txt,4100,102500,M=25*N,80601.000000,32520.000000,390934.000000
../benchmarks/test3_m4100_m336200.0_.txt,4100,336200.0,M=N*N/50,106598.000000,14625.000000,648148.000000
../benchmarks/test3_m4100_m336200.0_.txt,4100,336200.0,M=N*N/50,106215.000000,14616.000000,644649.000000
../benchmarks/test4_m4100_m1681000.0_.txt,4100,1681000.0,M=N*N/10,275758.000000,338934.000000,1312979.000000
../benchmarks/test4_m4100_m1681000.0_.txt,4100,1681000.0,M=N*N/10,278694.000000,339355.000000,1313785.000000
../benchmarks/test0_m4600_m18400_.txt,4600,18400,M=4*N,91055.000000,13103.000000,128042.000000
../benchmarks/test0_m4600_m18400_.txt,4600,18400,M=4*N,91055.000000,13173.000000,124283.000000
../benchmarks/test1_m4600_m55200_.txt,4600,55200,M=12*N,95926.000000,11474.000000,321407.000000
../benchmarks/test1_m4600_m55200_.txt,4600,55200,M=12*N,96095.000000,11472.000000,322817.000000
../benchmarks/test2_m4600_m115000_.txt,4600,115000,M=25*N,101650.000000,36582.000000,488663.000000
../benchmarks/test2_m4600_m115000_.txt,4600,115000,M=25*N,100975.000000,36428.000000,486787.000000
../benchmarks/test3_m4600_m423200.0_.txt,4600,423200.0,M=N*N/50,135696.000000,127760.000000,862301.000000
../benchmarks/test3_m4600_m423200.0_.txt,4600,423200.0,M=N*N/50,137089.000000,126372.000000,860437.000000
../benchmarks/test4_m4600_m2116000.0_.txt,4600,2116000.0,M=N*N/10,350377.000000,608939.000000,1697126.000000
../benchmarks/test4_m4600_m2116000.0_.txt,4600,2116000.0,M=N*N/10,348665.000000,607234.000000,1699266.000000
